Term,Section,Title,Location,Meeting Info,Faculty,Available/Capacity,Status,Credits,Academic Level,Restrictions,Blocked Time Slots,Days,Time Slot
2024SP,COUN-712-001,Research Methodology I,Main Campus,"03/01/2024-03/01/2024 Lecture Friday 05:00PM - 10:00PM, Murphy Center, Room 570 (more)...","Houin, Brittany Massengale",15 / 15,Open,3,Graduate,,,,
2024SP,COUN-750-001,Brain Bhvr Psychprmclgy,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Smith, Carol Marie",15 / 15,Open,3,Graduate,,,,
2024SP,COUN-760-001,Advanced Practicum,Main Campus,"01/18/2024-05/09/2024 On-Line Thursday 06:30PM - 08:00PM, Virtual, Room TBA","Houin, Cameron Bailey",15 / 15,Open,3,Graduate,,,,
2024SP,COUN-770-001,Adv Test Msrmnt Apprsl,Main Campus,"01/18/2024-05/02/2024 Lecture Thursday 06:30PM - 09:30PM, Murphy Center, Room 444","Houin, Brittany Massengale",15 / 15,Open,3,Graduate,,,,
2024SP,COUN-780-001,Counseling Internship,Main Campus,"01/17/2024-05/08/2024 On-Line Wednesday 05:00PM - 06:30PM, Virtual, Room TBA","Smith, Carol Marie",15 / 15,Open,1.00 - 3.00,Graduate,,,,
2024SP,COUN-795-001,Dissertation,Main Campus,"01/17/2024-05/08/2024 On-Line Wednesday 05:00PM - 06:30PM, Virtual, Room TBA","Houin, Cameron Bailey",15 / 15,Open,1.00 - 3.00,Graduate,,,,
2024SP,CRMJ-487-001,Internship,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Gostonczik, Alyssa Rae",90 / 90,Open,1.00 - 12.0,Undergraduate,This course is for students with senior standing.,,,
2024SP,CSCI-160-001,Prinpl Computer Science,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 11:00AM - 12:20PM, Reinhart Center, Room 228","Weinberg, Eric G",16 / 16,Open,3,Undergraduate,,,,
2024SP,CSCI-200-001,Object Oriented Design,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Reinhart Center, Room 228","Weinberg, Eric G",16 / 16,Open,3,Undergraduate,,,,
2024SP,CSCI-210-001,Network Cloud Interface,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Reinhart Center, Room 228","Weinberg, Eric G",16 / 16,Open,3,Undergraduate,,,,
2024SP,CSCI-487-001,Computer Sci Internship,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Gostonczik, Alyssa Rae",90 / 90,Open,3.00 - 9.00,Undergraduate,,,,
2024SP,DANC-214-001,Ballet I,Main Campus,"01/15/2024-05/01/2024 Studio Monday, Wednesday 10:10AM - 11:30AM, Fine Arts Center, Room 129","Craver, Emily Burns",18 / 18,Open,1,Undergraduate,"This course is for MUSC, MUTH, THTR majors and minors and AADM majors.",,,
2024SP,DANC-230-001,Tap Dance I,Main Campus,"01/16/2024-05/02/2024 Studio Tuesday, Thursday 08:00AM - 09:20AM, Fine Arts Center, Room 129","Craver, Emily Burns",18 / 18,Open,1,Undergraduate,"This course is for MUSC, MUTH, THTR majors and minors and AADM majors.",,,
2024SP,DANC-320-001,Modern Dance II,Main Campus,"01/15/2024-05/01/2024 Studio Monday, Wednesday 08:00AM - 09:20AM, Fine Arts Center, Room 129","Craver, Emily Burns",18 / 18,Open,1,Undergraduate,"This course is for MUSC, MUTH, THTR majors and minors and AADM majors.",,,
2024SP,DANC-350-001,Jazz Dance II,Main Campus,"01/15/2024-05/01/2024 Studio Monday, Wednesday 08:00AM - 09:20AM, Fine Arts Center, Room 129","Rhoades, Shane Alan",18 / 18,Open,1,Undergraduate,"This course is for MUSC, MUTH, THTR majors and minors and AADM majors.",,,
2024SP,DANC-350-002,Jazz Dance II,Main Campus,"01/15/2024-05/03/2024 Studio Monday, Wednesday 08:00AM - 09:20AM, Fine Arts Center, Room 129","Rhoades, Shane Alan",18 / 18,Open,1,Undergraduate,"This course is for MUSC, MUTH, THTR majors and minors and AADM majors.",,,
2024SP,DANC-360-001,Dance Composition,Main Campus,"01/15/2024-05/01/2024 Studio Monday, Wednesday 08:00AM - 09:20AM, Fine Arts Center, Room 129","Rhoades, Shane Alan",16 / 16,Open,2,Undergraduate,"This course is for MUSC, MUTH, THTR majors and minors and AADM majors.",,,
2024SP,DANC-414-001,Ballet III,Main Campus,"01/15/2024-05/01/2024 Studio Monday, Wednesday 01:25PM - 02:45PM, Fine Arts Center, Room 129","Craver, Emily Burns",18 / 18,Open,1,Undergraduate,"This course is for MUSC, MUTH, THTR majors and minors and AADM majors.",,,
2024SP,DANC-430-001,Tap Dance III,Main Campus,"01/16/2024-05/02/2024 Studio Tuesday, Thursday 12:30PM - 01:50PM, Fine Arts Center, Room 129","Craver, Emily Burns",18 / 18,Open,1,Undergraduate,"This course is for MUSC, MUTH, THTR majors and minors and AADM majors.",,,
2024SP,ECAS-311-001,Appld Clbtv Prb Slv Phl,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 11:00AM - 12:20PM, Murphy Center, Room 346","Howard, Jason J",30 / 30,Open,3,Undergraduate,,,,
2024SP,ECON-101-001,Macroeconomics,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Brophy Center, Room 202","Hanson, Taylor Michael",30 / 30,Open,3,Undergraduate,,,,
2024SP,ECON-101-002,Macroeconomics,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Brophy Center, Room 202","Hanson, Taylor Michael",30 / 30,Open,3,Undergraduate,,,,
2024SP,ECON-102-001,Microeconomics,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Brophy Center, Room 202","Hanson, Taylor Michael",30 / 30,Open,3,Undergraduate,,,,
2024SP,ECON-102-002,Microeconomics,Bachelor Completion,"03/18/2024-05/07/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Hanson, Taylor Michael",24 / 24,Open,3,Undergraduate,,,,
2024SP,ECON-200-001,Personal Economics,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 12:20PM - 01:15PM, Brophy Center, Room 203","Hanson, Taylor Michael",30 / 30,Open,2,Undergraduate,,,,
2024SP,EDEL-500-001,Qual Ques Rigor Engmnt,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Pecinovsky, Susan A; Howell, Mary Lou",24 / 24,Open,2.00 - 3.00,Graduate,,,,
2024SP,EDEL-504-001,Actv Engamnt Brain Lrng,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Dietz, Cathleen Marie",20 / 20,Open,3,Graduate,,,,
2024SP,EDUC-150-001,Intro to Education,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 12:20PM - 01:15PM, Murphy Center, Room 444","Berra, Kay Ellen",25 / 25,Open,2,Undergraduate,,,,
2024SP,EDUC-212-001,Coaching Tchng Leading,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 10:10AM - 11:05AM, Murphy Center, Room 400","Lichty, Joshua John",20 / 20,Open,2,Undergraduate,,,,
2024SP,EDUC-215-001,Educational Psychology,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 09:30AM - 10:50AM, Murphy Center, Room 416","Lichty, Joshua John",35 / 35,Open,3,Undergraduate,,,,
2024SP,EDUC-271-001,Curlm Assess Birth to 6,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Holinka, Kristy Renee",26 / 26,Open,3,Undergraduate,,,,
2024SP,EDUC-302-001,Diverse Learners,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Murphy Center, Room 436","Holinka, Kristy Renee",30 / 30,Open,3,Undergraduate,,,,
2024SP,EDUC-303-001,Educational Foundations,Bachelor Completion,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Robertson, Catherine Germaine",22 / 22,Open,3,Undergraduate,This course is for Elem Educ Degree Completion majors only.,,,
2024SP,EDUC-305-001,Rdg Wrtng Spkng Lstng,Bachelor Completion,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","MacVane, Maureen Ebben",25 / 25,Open,3,Undergraduate,This course is for Elem Educ Degree Completion majors only.,,,
2024SP,EDUC-306-001,Intro Special Education,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 09:30AM - 10:50AM, Murphy Center, Room 418","Johnson, Matthew David",35 / 35,Open,3,Undergraduate,,,,
2024SP,EDUC-307-001,Currlm Instrct Assesmnt,Bachelor Completion,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Woychik, Dawn Marie",25 / 25,Open,3,Undergraduate,This course is for Elem Educ Degree Completion majors only.,,,
2024SP,EDUC-313-001,Wld Views Syst of Thnkg,Bachelor Completion,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Hines, Carol Nadine",25 / 25,Open,3,Undergraduate,This course is for Elem Educ Degree Completion majors only.,,,
